"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2021","1,687.90","1,714.80","1,715.80","1,680.60","2.72K","-1.67%"
"Mar 29, 2021","1,716.50","1,736.30","1,736.30","1,707.50","4.05K","-1.15%"
"Mar 26, 2021","1,736.50","1,729.90","1,738.90","1,723.20","3.39K","0.43%"
"Mar 25, 2021","1,729.10","1,738.00","1,748.80","1,725.00","2.95K","-0.47%"
"Mar 24, 2021","1,737.20","1,730.70","1,741.50","1,729.00","3.96K","0.45%"
"Mar 23, 2021","1,729.50","1,743.10","1,746.00","1,727.20","3.55K","-0.74%"
"Mar 22, 2021","1,742.40","1,745.00","1,745.90","1,730.70","2.56K","-0.19%"
"Mar 19, 2021","1,745.80","1,739.50","1,750.00","1,731.70","2.72K","0.54%"
"Mar 18, 2021","1,736.50","1,751.20","1,758.00","1,722.10","1.44K","0.31%"
"Mar 17, 2021","1,731.10","1,732.00","1,754.00","1,727.50","1.69K","-0.24%"
"Mar 16, 2021","1,735.20","1,733.70","1,743.80","1,731.00","1.39K","0.08%"
"Mar 15, 2021","1,733.80","1,730.00","1,737.30","1,724.80","0.55K","0.55%"
"Mar 12, 2021","1,724.30","1,726.30","1,732.40","1,701.60","1.14K","-0.17%"
"Mar 11, 2021","1,727.20","1,729.50","1,742.50","1,722.50","4.24K","0.04%"
"Mar 10, 2021","1,726.50","1,719.50","1,728.70","1,711.30","7.20K","0.27%"
"Mar 09, 2021","1,721.90","1,687.30","1,722.30","1,687.30","4.59K","2.32%"
"Mar 08, 2021","1,682.90","1,711.80","1,715.70","1,678.40","7.90K","-1.23%"
"Mar 05, 2021","1,703.80","1,696.80","1,709.70","1,690.80","3.17K","-0.12%"
"Mar 04, 2021","1,705.90","1,712.20","1,725.60","1,693.00","4.05K","-0.88%"
"Mar 03, 2021","1,721.00","1,734.60","1,734.60","1,705.00","2.19K","-1.02%"
"Mar 02, 2021","1,738.80","1,725.50","1,742.60","1,709.70","3.86K","0.61%"
"Mar 01, 2021","1,728.20","1,738.10","1,762.00","1,723.00","1.83K","-0.33%"
"Feb 26, 2021","1,734.00","1,773.60","1,777.00","1,720.80","5.07K","-2.63%"
"Feb 25, 2021","1,780.80","1,805.50","1,805.50","1,769.90","1.97K","-1.22%"
"Feb 24, 2021","1,802.80","1,810.50","1,814.80","1,787.90","0.90K","-0.43%"
"Feb 23, 2021","1,810.50","1,816.80","1,817.40","1,799.70","0.93K","-0.15%"
"Feb 22, 2021","1,813.20","1,791.00","1,816.80","1,786.40","0.78K","1.74%"
"Feb 19, 2021","1,782.20","1,771.30","1,794.40","1,765.00","1.11K","0.13%"
"Feb 18, 2021","1,779.90","1,784.60","1,792.60","1,773.20","1.48K","0.12%"
"Feb 17, 2021","1,777.70","1,792.00","1,798.00","1,773.00","1.97K","-1.45%"
"Feb 16, 2021","1,803.90","1,826.60","1,831.00","1,793.50","1.98K","-0.82%"
"Feb 15, 2021","1,818.75","1,820.90","1,827.00","1,815.60","-","-0.13%"
"Feb 14, 2021","1,821.05","1,822.45","1,826.30","1,820.15","-","-0.39%"
"Feb 12, 2021","1,828.10","1,825.90","1,835.00","1,817.90","1.24K","-0.21%"
"Feb 11, 2021","1,832.00","1,842.20","1,850.80","1,826.90","1.20K","-0.85%"
"Feb 10, 2021","1,847.70","1,840.00","1,860.60","1,840.00","2.06K","0.29%"
"Feb 09, 2021","1,842.40","1,836.70","1,853.00","1,836.70","1.36K","0.19%"
"Feb 08, 2021","1,838.90","1,820.70","1,844.00","1,814.10","2.78K","1.16%"
"Feb 05, 2021","1,817.80","1,801.80","1,820.40","1,797.80","1.47K","1.22%"
"Feb 04, 2021","1,795.90","1,838.00","1,838.00","1,790.30","1.74K","-2.38%"
"Feb 03, 2021","1,839.60","1,844.30","1,847.20","1,834.80","1.21K","0.11%"
"Feb 02, 2021","1,837.60","1,866.70","1,869.10","1,835.20","1.19K","-1.60%"
"Feb 01, 2021","1,867.40","1,864.60","1,874.60","1,858.50","3.44K","0.68%"
"Jan 29, 2021","1,854.70","1,847.60","1,881.80","1,847.60","1.91K","0.48%"
"Jan 28, 2021","1,845.80","1,846.20","1,870.40","1,841.50","0.81K","-0.43%"
