"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2021","20.24","20.51","20.51","20.02","17.60M","-1.84%"
"Mar 22, 2021","20.62","20.67","20.88","20.59","12.35M","-1.62%"
"Mar 19, 2021","20.96","20.95","20.99","20.69","24.42M","0.48%"
"Mar 18, 2021","20.86","20.82","21.12","20.71","13.14M","-1.28%"
"Mar 17, 2021","21.13","20.59","21.34","20.39","20.03M","2.03%"
"Mar 16, 2021","20.71","20.84","20.86","20.51","12.09M","-0.29%"
"Mar 15, 2021","20.77","20.47","20.86","20.32","16.17M","2.21%"
"Mar 12, 2021","20.32","20.01","20.42","19.83","12.74M","0.05%"
"Mar 11, 2021","20.31","20.27","20.44","20.01","14.42M","0.94%"
"Mar 10, 2021","20.12","20.11","20.33","19.80","16.62M","0.65%"
"Mar 09, 2021","19.99","20.09","20.41","19.85","19.42M","2.51%"
"Mar 08, 2021","19.50","19.83","19.86","19.31","14.28M","-1.71%"
"Mar 05, 2021","19.84","19.61","19.87","19.21","20.86M","1.54%"
"Mar 04, 2021","19.54","19.50","20.00","19.28","28.27M","0.21%"
"Mar 03, 2021","19.50","19.41","19.57","19.01","21.26M","-1.81%"
"Mar 02, 2021","19.86","19.19","19.98","19.15","24.72M","4.69%"
"Mar 01, 2021","18.97","19.00","19.23","18.80","24.09M","1.61%"
"Feb 26, 2021","18.67","19.23","19.29","18.64","32.85M","-4.01%"
"Feb 25, 2021","19.45","19.83","20.19","19.36","25.86M","-3.23%"
"Feb 24, 2021","20.10","19.97","20.22","19.73","17.80M","-0.30%"
"Feb 23, 2021","20.16","20.52","20.57","19.79","22.76M","-1.80%"
"Feb 22, 2021","20.53","20.00","20.59","19.86","28.93M","3.79%"
"Feb 19, 2021","19.78","20.36","20.43","19.69","38.06M","-2.66%"
"Feb 18, 2021","20.32","20.85","20.99","20.23","29.44M","-2.45%"
"Feb 17, 2021","20.83","21.31","21.31","20.60","35.61M","-4.01%"
"Feb 16, 2021","21.70","21.99","22.11","21.65","18.43M","-2.03%"
"Feb 12, 2021","22.15","22.07","22.29","21.71","14.57M","-0.18%"
"Feb 11, 2021","22.19","22.55","22.57","22.11","12.63M","-1.42%"
"Feb 10, 2021","22.51","22.58","22.70","22.33","10.67M","0.36%"
"Feb 09, 2021","22.43","22.52","22.54","22.26","12.80M","-0.13%"
"Feb 08, 2021","22.46","22.63","22.68","22.39","11.60M","0.58%"
"Feb 05, 2021","22.33","22.10","22.38","21.86","17.40M","1.55%"
"Feb 04, 2021","21.99","21.91","22.05","21.48","17.63M","-1.57%"
"Feb 03, 2021","22.34","22.32","22.48","22.18","11.00M","0.00%"
"Feb 02, 2021","22.34","22.12","22.52","21.94","15.37M","-0.89%"
"Feb 01, 2021","22.54","22.93","22.97","22.14","24.16M","0.76%"
"Jan 29, 2021","22.37","22.90","23.08","22.25","25.41M","0.04%"
"Jan 28, 2021","22.36","22.44","22.53","22.09","23.20M","1.68%"
"Jan 27, 2021","21.99","23.03","23.04","21.88","32.62M","-5.54%"
"Jan 26, 2021","23.28","23.44","23.56","23.24","11.60M","-0.68%"
"Jan 25, 2021","23.44","23.57","23.76","23.21","15.45M","-0.13%"
"Jan 22, 2021","23.47","23.18","23.69","22.92","13.12M","-0.89%"
"Jan 21, 2021","23.68","23.84","23.87","23.41","14.08M","-0.63%"
"Jan 20, 2021","23.83","23.73","23.96","23.58","17.14M","1.88%"
"Jan 19, 2021","23.39","23.31","23.47","23.13","16.58M","1.08%"
"Jan 15, 2021","23.14","23.58","23.73","23.11","16.31M","-2.28%"
"Jan 14, 2021","23.68","23.59","23.90","23.55","15.12M","0.34%"
"Jan 13, 2021","23.60","23.60","23.89","23.49","17.30M","0.25%"
"Jan 12, 2021","23.54","23.61","23.67","23.20","22.55M","0.09%"
"Jan 11, 2021","23.52","23.57","23.77","23.45","21.60M","-1.88%"
"Jan 08, 2021","23.97","24.22","24.37","23.58","25.82M","-3.23%"
"Jan 07, 2021","24.77","24.57","24.86","24.25","19.00M","1.10%"
"Jan 06, 2021","24.50","24.06","24.57","23.91","30.37M","0.91%"
"Jan 05, 2021","24.28","24.93","24.95","24.09","30.63M","-1.38%"
"Jan 04, 2021","24.62","23.85","24.80","23.62","40.92M","8.08%"
"Dec 31, 2020","22.78","23.25","23.27","22.70","18.09M","-1.98%"
"Dec 30, 2020","23.24","22.99","23.28","22.87","16.05M","1.44%"
"Dec 29, 2020","22.91","23.00","23.27","22.75","14.66M","0.31%"
"Dec 28, 2020","22.84","23.47","23.54","22.81","15.95M","-0.26%"
"Dec 24, 2020","22.90","22.80","23.04","22.73","4.92M","0.31%"
"Dec 23, 2020","22.83","22.62","23.03","22.59","11.74M","1.38%"
"Dec 22, 2020","22.52","23.00","23.05","22.26","19.78M","-2.17%"
"Dec 21, 2020","23.02","23.26","23.41","22.95","20.69M","-1.07%"
"Dec 18, 2020","23.27","23.69","23.69","23.26","14.80M","-1.36%"
"Dec 17, 2020","23.59","23.66","24.04","23.41","20.27M","2.25%"
"Dec 16, 2020","23.07","23.01","23.14","22.66","17.16M","0.87%"
"Dec 15, 2020","22.87","22.85","23.16","22.71","16.06M","1.92%"
"Dec 14, 2020","22.44","22.90","23.07","22.40","14.63M","-2.01%"
"Dec 11, 2020","22.90","23.08","23.31","22.84","13.96M","-0.82%"
"Dec 10, 2020","23.09","23.49","23.57","22.99","18.03M","-1.16%"
"Dec 09, 2020","23.36","23.75","23.81","23.18","20.42M","-2.26%"
"Dec 08, 2020","23.90","24.08","24.11","23.75","13.71M","-0.21%"
"Dec 07, 2020","23.95","23.50","24.20","23.46","18.75M","1.91%"
"Dec 04, 2020","23.50","23.75","23.80","23.24","17.09M","-0.47%"
"Dec 03, 2020","23.61","24.18","24.21","23.43","18.06M","-1.46%"
"Dec 02, 2020","23.96","23.97","24.10","23.61","17.34M","0.55%"
"Dec 01, 2020","23.83","23.86","24.00","23.45","26.14M","2.98%"
"Nov 30, 2020","23.14","22.48","23.21","22.37","24.41M","1.98%"
"Nov 27, 2020","22.69","22.51","22.72","22.22","16.85M","-0.61%"
"Nov 25, 2020","22.83","23.13","23.21","22.66","36.96M","0.18%"
"Nov 24, 2020","22.79","22.59","23.24","22.59","43.64M","-1.94%"
"Nov 23, 2020","23.24","24.12","24.14","23.14","36.60M","-4.28%"
"Nov 20, 2020","24.28","24.32","24.64","24.17","16.71M","0.41%"
"Nov 19, 2020","24.18","24.17","24.44","24.01","18.05M","-1.14%"
"Nov 18, 2020","24.46","25.25","25.25","24.43","28.71M","-3.59%"
"Nov 17, 2020","25.37","25.80","25.89","25.33","18.76M","-1.89%"
"Nov 16, 2020","25.86","25.78","26.01","25.48","17.39M","-0.12%"
"Nov 13, 2020","25.89","26.30","26.34","25.87","11.77M","-0.08%"
